,Title,Category,Post Info,Comments
0,Welcome to the Mycroft Community,General Discussion,"Welcome to the Mycroft Community

wedidit.jpg1024×1024 177 KB
 
We did it! We funded on Kickstarter, and now we’ve started this forum in order to have a place where we can build a community around Mycroft and promote participation in the project. If you are interested in contributing, you’re at the right place.
Who is this site for?

People generally interested in the Mycroft Project.
Developers interested in contributing to the Mycroft Project (or related projects).
Those interested in A.I., the Internet of Things (IoT), and home automation.
Anyone interested in open source, Linux, and the Raspberry Pi - in relation to voice control.

Please take the time to make a post and share who you are and what you are interested in doing with Mycroft! Use the Introductions category for your post!
Miss out on our Kickstarter? Check out our extended campaign on Indiegogo!
We released our secret sauce, the source code, dubbed: Mycroft Core - check it out!
Join the Mycroft Slack Channel to chat about the project!","We look forward to hearing from everyone! 

Nice to see that we bet on the right project 

A very lovely introduction!  I am new to the community and hope to make relevant contributions.!

Nice work guys…
keep it up…
regards.

I bought my mark a few months ago. I didn’t have time to play with it, but I would like to use more of it.
Is there a release schedule for updates?
Is there how to page?
Can I add skills to it that I wrote?

You can find docs on the mycroft right here. Release schedule for update is biweekly, usually on thursdays. You should expect a new update this thursday. To allow other people to install your skills either using MSM (mycroft skills manager) or the install skills skill, you can do a pull request on this repo, to add your skill on there.
Hope this helps!




 system:

Mycroft


Really love the incredible project!

Hi everyone,
I found out about Mycroft through the Plexpod community in KC. I work for a global health organization called Partners In Health that provides healthcare, engages in health system strengthening activities, educates and trains health workers, and co-develops and implements open source electronic medical record systems (EMR) in low and middle income countries.
The platform we use for EMR is called OpenMRS. Users include country governments, NGOs, and private hospital systems. The platform is used in over 60 countries, with millions of patient records. One of the biggest challenges in moving from a “retrospective” to a “point-of-care” data collection model is the burden and interruption of workflow to clinicians who are already burdened with paperwork. In many countries, the government requires paperwork and the EMR data is supplemental.
I hope that somewhere out in the OpenMRS ecosystem, there is someone who would want to test Mycroft AI running on the same laptop or tablet that is running their EMR application. My organization is not positioned to do this yet, because the locations where we work are too rural and internet bandwidth is a constraint. But I hope that this idea might catch someone’s idea, and might take hold somewhere else in the world.
Please feel free to reach out for more information or you can join the OpenMRS community directly if you are a developer who is looking for an opportunity to begin the discussion about integrating voice with health data.

Hello to the group. I just purchased a donation for the Mark-II unit, and I also downloaded and installed the core to a Linux workstation to satisfy my impatience and learn more while I’m waiting for the Mark-II unit.
I know only a little bit about coding in general, but I’m looking forward to learning how to build my first Skill.
The Skill I’m hoping to build is the ability for the Ai to go to a monitoring web site and report back the values in a given frame.
I have solar panels on my home, they are grid-tied through a Solar Edge inverter which communicates data to their web site. That web site has a “public” view web page with the current statistics on my Solar Energy system.
https://monitoringpublic.solaredge.com/solaredge-web/p/kiosk?guid=3d71e75a-b8cb-48ef-8d00-6f36fd077737
I’m looking forward to seeing how far I can get.  Wish me luck!
~Eric

Great Job Guys…
Well Done

Hi, I ma José (jrd10) from France.
Great project, congratulations 
Not (still) a user. I will see if I can contribute in French.
Use MyCroft with Ubuntu and soon with RPi 3+ :).
Best Regards, jrd10
tricassinux.org"
1,Mic level near at max but no audio input detected,None,"
I have a screenshot attached, anyone know why this may be?
","Hi @calvin.frakes1 and welcome!
What is you microphone?"
2,Move It reminder,Skill Suggestions,"Move It
User story:
_As a working from home user I want this Skill to have timing and reminder features so that I can achieve standing up reminders every 30 min’s.
eg. I would like to voice activate the skill perhaps with a prompt for the number of min’s. The skill will run a background timer and voice announce me to “stand up” or “sit down”.
**No other services or data sets or platforms should be needed.
**There are similar but not the same skills with the needed continuing run of the timer. **
**“Start Moving” or something similar. **
**Mycroft would speak: “Move It is started”; “Stand Up”; “Sit Down”; “Move It is now stopped” **
What Skill Settings will this Skill need to store? (Error- the skills settings page could not be accessed)
Other comments?
Sitting for extended periods of time has been identified as a health issue. Many folks are acquiring desks that allow them to stand or sit while working on their computers. This skill would be of benefit to ones health with a regular reminder to stand up at your desk. Or just to get up for a moment to stretch and move your position.","Hi @Allan_May
That is a great skill suggestion 

I’m not sure, but isn’t this better realized within the framework of reminder skill by adding a reoccuring reminder?
intent: remind me of standing up every 10 minutes

Well I wasn’t sure that a recurring reminder could be setup as needed. I thought a recurring reminder would repeat at a specific day and time. For the move it we need a reminder, say, every 30 min’s or whatever the user wants. But we also need to control when to start the reminders and when to end them, for example at the beginning and the end of the work day, however many hours that might be.

My bad, i mixed up  mycroft-timer with mycroft-reminder (indeed the skill just recognizes timedate). Yet the same would apply to mycroft-timer (which extracts duration and has named timers) I’ll look into it.

Have rewritten the skill passages to also host recurring timer. I have to look at the intents/vocs/regex to get it right but it works in german language. If you don’t mind (or anybody else  ) i would post the test git here.

Sorry I wish I could help but I’m not a programmer. But I do appreciate your efforts on my Move It suggestion!

unluckily i just nearly broke my finger and now i carry a wrist-finger splint. So this might take a little longer

Yikes! So sorry to hear about that. Maybe programmers should have special insurance for their fingers"
3,Unable to register device,Site Feedback,"
Just got started with Mycroft on a Pi today.
Setup was easy, but I’m not able to register my device on the web page.
The web page loads ok, the side bar on the left is working, but Add Device or Profile just comes up with an empty page.
I have tried different computers and my phone and logged in with email and github, the result is always the same.
Anybody else has the same problem or is there a known fix for it?
","It seems the site has a problem at the moment. You’re not the only one with this isse.
I think the MyCroft team will take a look for it when they’re back in the office on monday.
The team should have a pleasant free time on sunday .

Hi SpencersGithub,
i have the same issue. Seems to be that one of their severs is down. Maybe for maintenance or any other reason.
I think we can just wait until they recognize that their users are facing that issue! Or if you want to, just write a mail via the contact-form as I did. But i think in the meanwhile they already got a lot of them, so maybe just waiting as Thorsten wrote might be enough for now. 
Kind regards,
Lumpy

grafik1857×289 36.8 KB


Thanks for the quick replies.
I will check again tomorrow.

Nooooo 
I setup my new rpi4 with seeed v2 mic array and now I can not register them…
So sad.

Hi all, thanks for reporting the outage, the team are looking into this now, and will let you know when it’s been resolved.

Now! Wow, that’s cool.
Please keep us informed here and THX.

The issue should be resolved now, see the incident report here

Å


Hi there,
On Sunday the 10th of November, one of the Mycroft service API endpoints became unavailable,  preventing certain pages from loading correctly. This included the Profile, My Devices and Add Device pages of Home.mycroft.ai. As per our standard incident response process, a report for this incident was created and is available for the Community to review.
Our engineering team investigated and restored this service in a matter of hours, and all services are now fully functional.
A standard post-incident review is being conducted, and the team has taken immediate actions to reduce the chance of this type of incident reoccurring in the future, as well as to improve automatic recovery if a service does become unresponsive.
We apologize for those who could not access all of their account information during this time, and appreciate our Communities responsiveness in reporting the issue. The Communities support in identifying and debugging issues assists us in continually improving Mycroft’s services.
Thanks
The team at Mycroft AI

I have this same issue now

So do I. I’ve tried Chrome, Chromium and Firefox for Linux with no success.

There is an ongoing issue, have look here: Pairing is currently offline

It seems to be back.

I’m having this problem too. 22/12/2020

I’ve been having this issue as well. I get a “Internal Server Error” from https://account.mycroft.ai/api/devices

There is an ongoing issue, the team is working on it.
(come to the chat to get more updates)"
4,Mark II Update - November 2020,Mark II,"Originally published at:			https://mycroft.ai/blog/mark-ii-update-november-2020/
This month most of the team braved the airports and came together in person for a two week sprint. The aim was to have a fully working device by the time we went home. Spoiler alert – we did it!
Obligatory COVID note:
We took a lot of precautions to pull this off. With everyone taking tests before, during and after the sprint. Remaining isolated until test results were confirmed. Using the best PPE available. Everyone is now safely back home with negative tests.
Audio output
Very quickly we discovered that the SJ201 rev 3 had an issue reliably outputting audio. This hadn’t come up in our testing to date as the sound works when first booted. However after varying amounts of time the output cut out and would not return until rebooting the device.
As you can imagine, this was an unexpected turn of events, consuming a sizable portion of the sprint efforts.
The issue was tracked down to an incompatibility in the USB of the XMOS chip and Raspberry Pi 4. It works fine on a Pi 3 but that causes other problems, so we decided to work around it and use the I2S bus instead. As a temporary work around, we were able to add a jumper from one of the Pi’s GPIO pins to the XMOS chip allowing us to reset the chip in software anytime the failure occurred. This meant we could continue prototyping with the current board, however it is not a final solution.
SJ201 Rev 4
As we mentioned in the last update we were already planning another revision of the board in order to switch the audio output to use a direct I2S connection. The change to I2S will also address this audio output issue as we will no longer be needing the USB driver.
Our expectation is that this will be the final revision before we start shipping the Mark II Dev Kits.


Mark II Dev Kit with 3D printed audio chamber2560×1707

Mark II Dev Kit with 3D printed audio chamber

Added in Rev 4

I2S Audio Amp TAS5806MD
Changed audio path from USB to I2S. Better quality and gets around bug in
XMOS/Raspberry Pi 4 over USB.

Removed in Rev 4

I2S to Line Out IC
MAX9744 Amp

Pantacor
An exciting new addition to the Mark II is Pantacor, a comprehensive and robust software life-cycle management solution.
This is an open source solution that uses container technologies to securely and reliably maintain edge services on Linux devices. That can be anything from home WiFi routers through to industrial control systems.
Cut the jargon! What the hell does all that mean for the Mark II?
Most importantly this provides a very stable and resilient operating system and update service. If something goes wrong on your Mark II, the device will automatically roll back to a previously working state. This is the type of feature that you will never notice because it “just works”.
We are really excited to be working with the Pantacor team. We have contracted them to set up the infrastructure and integrations needed to get us started, so we can stay focused on Mycroft’s core capabilities and getting the hardware shipped.
Future planning
While the team was together, we also took some time to map out some of the larger changes we want to make. We’ll be sharing these ideas and draft specifications with the Community over the coming weeks and months to get your input and help prioritize these longer-term projects.","“By putting down a $1 deposit per speaker we’ll hold your place in line and ship them when mass production starts in late 2019 or early 2020.”
Well maybe you should update the shop then…"
5,"Fresh install of Picroft on RPi4, hangs",Support,"So just got a new RPi4, and Seeed ReSpeaker 6 array mic board, 64GB mSD. Put on Picroft, went through the setup. Had to do some manual install for the mic board, as the default install doesn’t support installing/setting it up. Took me a little bit, but via the Audio Troubleshooting figured out how to set the Pulse & Mycroft mic/speaker settings. Got it up and running, managed to get it paired with home.mycroft.ai, so I start talking to it!
I’ve run into several times where I had to restart it or reboot the RPi because mycroft hangs and goes unresponsive after it starts trying to perform a task. I have some small heatsinks on the CPU and other chips. With it running but hung, the vcgencmd measure_temp gave me ~72-73C. Running idle after a mycroft-stop all gives me ~60C after waiting several minutes. So with it running it’s elevated temps, but not excessively high.  After doing mycroft-start all and idling at the mycroft-cli-client, it’s running about 62-63C.
The hanging always seems to occur after I ask mycroft something, I see it get the utterance, try and figure it out, and then I see a response but no voice plays and then it becomes unresponsive to new voice commands, and the Mic Level on the lower right doesn’t move.
It’s as if the audio output/TTS hangs, and causes the rest of mycroft to hang and not accept new input.","Can you play regular audio out of this with out issues?  Also have you checked in the logs (/var/logs/mycroft/) to see if there’s any clues?

I do sometimes get audio response from mycroft, and the mic test I do get the recording back out (headphones via the Seeed jack).
In the audio.log, apparently I’m getting an alsa error. That must be the issue, time to troubleshoot that.
[quote]ALSA lib pcm_hw.c:1822:(_snd_pcm_hw_open) Invalid value for card
aplay: main:828: audio open error: No such file or directory[/quote]
What’s the mycroft config options for the audio output? Is it just the play_wav_cmdline and play_mp3_cmdline settings via mycroft-config edit system?   It seems that those got reset after one of the restarts I did. They’re back to plughw:ArrayUAC10,0 instead of plughw:2,0 which was working before.
Hm. Looks like something is going on with the audio stuff, I’ll have to dig into that more and troubleshoot. I might just rebuild from a bare Raspian, do manual install of Mycroft.

Did you ever figure this out, I’m having similar issues?

Just to give more context (from the chat) just in case from @fsa317 possible issue:

image1282×396 43.2 KB


Picroft is still 32bit. Wasn’t there someting about 32bit and that big(ger) amount of ram?
Issue sounds like running out of memory




 j1nx:

Picroft is still 32bit. Wasn’t there someting about 32bit and that big(ger) amount of ram?


The memory limit for 32-bit system is 4Gb, Picroft usage is pretty far from this limit (except if a custom skill is leaking)."
6,Testing and Feedback for Linux Rhythmbox Skill,Skill Feedback,"
How to install Rhythmbox Skill
Linux Software Required


Ubuntu: apt install rhythmbox

Linux Mint: apt install rhythmbox

Arch: pacman -S rhythmbox

Install skill via git:

cd ~/mycroft-core/skills
git clone https://github.com/dwfalk/rhythmbox-skill.git

mycroft-pip install fuzzywuzzy

How to test Rhythmbox Skill

Setup Rhythmbox with music, playlists, etc.
Utterances…
◦ “play **”
◦ “play ** playlist”
◦ “play something by **”
◦ “shuffle ** playlist on Rhythmbox”
◦ “pause”
◦ “resume”
◦ “next song”
◦ “previous song”  [limited function within Rhythmbox]
◦ “stop Rhythmbox”

Skill Pass Criteria

Skill searches the Rhythmbox song and playlist databases for the best match and queues it up.

Skill Failure Criteria

Skill does not install
Skill fails to interface with Rhythmbox
Skill does not play music when requested

Feedback

I am new to the mycroft forums and to github
On github at https://github.com/dwfalk/rhythmbox-skill/issues/new

In response to this topic

","Hi dwfalk,
I’ve dropped a new issue in your repo with some trouble I had accessing the file system, but wanted to say thanks for creating Rhythmbox Skill!

Great feedback.  Thank you.

gez-mycroft’s suggestion over on github simplifies installing the skill.  I added a requirements.txt file with the fuzzywuzzy dependency.  So now you only need to issue the following command to install the skill…
mycroft-msm install https://github.com/dwfalk/rhythmbox-skill

Thanks for your work  , installation worked like a charm.
CPS_match_query on the other hand, has me pretty puzzled it never finds what i’m asking for.
Sometimes it doesn’t start music because it thinks stuff is not in my library  …
rhythmbox-skill_dwfalk - INFO - Artist Utterance: eminem
Playback Control Skill - INFO - No matches
rhythmbox-skill_dwfalk - INFO - Artist Probabilities: (‘Eminem’, 100)
And it doesn’t do anything else… I am sure it should work  ,
do you have any insights about the common play skill skill class?
i am trying to use it in my own music skill and i am also having problems adapting it to  common play   is it me using it wrong ? thank you again  have a nice day

colla69…If you wish, you can open an issue over on the github site I reference for skill feedback and post the pertinent contents of your Rhythmbox database (~/.local/share/rhythmbox/rhythmdb.xml) and I’ll take a peek.
You can also look at my code on the github site to get an idea on how to work with common play skill.  I was a little intimidated with it myself, at first.  But took on the challenge of converting my original code to it and am rather happy I did.

Hey @dwfalk…
i found out what the problem is  … it has notihg to do with your skill …
The common play framework has a timeout, you should be getting an answer from the search queries in max 1 sec time…
thats why i got

“Playback Control Skill - INFO - No matches”
before
“rhythmbox-skill_dwfalk - INFO - Artist Probabilities: (‘Eminem’, 100)”

My computer isn’t fast enough  (it’s getting old ^^ and my rhythmdb.xml is almost 20 MB and increasing )…
That meand Your Skill passed all my tests on a smaller library… all the problems i had seem to arise because of the performance of my pc…
At the moment I am trying to write a Filecrawler that can load my data faster hoping i can structure the data to speed up the search… I’ll be developing a test version for my own player skill. If your intrested I’ll let you know when i have something working…
Wishing you a nice day  ,
colla

nice ability. I have found that the complete request is always sent to playlist, artist and title. “Hells Bells by AC DC” instead of “Hells Bells” and artist “AC DC”. Normally, the mycroft player module can separate this. I use German. how is that with you? Maybe my translation in the mycroft player module is not correct either.

I had in mind to add “song by artist” to the skill.  Its been a while since I tinkered around.  I appreciate the feedback.  It’ll stir me to get back to doing some coding. Guten Tag!

I published a new version of the skill that includes “title by artist” support.

supper works for me. I have only the problem with my 35mb database. would it help to change the XMLParser to iterparse?

Thanks for the suggestion.  This was a hobby project of mine.  I’m not the most literate on the ins and outs of Python and XML, having just a basic programming background.  A Google search is leading me in the direction of lxml, interparse, and using element.clear.  But I am open to any recommendations.

I opened an issue over on the skill’s github site to track benchmarking alternative xml logic.  I’ll use it to comment on any progress or potential avenues in supporting larger Rhythmbox databases.  Please feel free to visit and leave comments as well on any suggestions you might have regarding the efficient processing of the Rhythmbox xml databases.  Regards.

the reading at the start of the Skill could accelerate the whole thing
https://mycroft-core.readthedocs.io/en/stable/source/mycroft.util.html#get-cache-directory

I’m now caching the Rhythmbox xml database in skill class list variables.  The first time accessing the skill, it will cause the cache to be built.  Subsequent calls to the skill will use the cache.  Hopefully that will help individuals with large Rhythmbox databases.

The skill goes right for songs / artists.
Might I suggest to add a command like “play album **” maybe with possibility to specify artist (“play album XX by artst XX”)?

Thanks for the suggestion “docjuhnk”.  I’ve added album and album by logic.  I want to be careful not to weigh down the speed of the skill.  But I kinda anticipated this request and can see where it would be handy.
I really appreciate everyone that uses the skill.  Its nice to be able to contribute something to the open source community and to the potential that Mycroft exhibits.

Works like a charm!
I can’t really say, that it has slowed my installation. (I have a little over 5k tracks / 460 Albums / 270 interprets in my database.)
Thanks for your quick reply and updating the skill.

@unwisebard contributed code to support Genres and also some tweaks to shorten search times.  Have a look.

@dwfalk this is just what I was looking for, Thanks! I just got it installed and will give it a whirl. 
Works like a charm. Mycroft now pulls from my local music dir. Next, I’ll get a map to my NAS.  Thanks again."
7,Thoughts and advice,General Discussion,"Hi, new here.
I work in devops, bash, python, and swift, both back-end tool sets, and pretty pretty GUI based tools, to support teammates. current setup smart home was done for convenience of others, and is driving me batty… consists of wifi switches, (tuya) and some bulbs for a fan that “had to have a dimmer on the light” and some tuya based it seems wifi fan controllers (without dimmers), and roughly 10 amazon echo dots throughout the house… now everytime the wifi hiccups, or the oh so reliable spectrum internet dies, everything obviously is manual control… minor inconvenience, but the major problem is things seem to go wonky and switches dont reconnect in smart life right, and nothing wants to work right… so looking at using a raspberry pi to setup an AP for the switches with tuya-convert and OTA reflashing, and decided to look down the rabbit hole of possibly getting my own voice assistant, to replace alexa, that i could build my own skill for to control the switches, etc, and have it to where in the internet does indeed go down, since my wifi is on battery, and the pi would be on battery (big battery), possibly have it setup to where i could still voice control my crap… because its still an inconvenience, no matter how minor… to have things in the house not work right, due to an internet outage… so i realize id be replacing the eco dots with a different device, possibly even pis, just wondering if this is going to be worth my time to attempt… or is there a better route or just live with the frustrations","


Hi @matts,
I’m not sure to understand what your question is (that is a very long sentence that you wrote here ).
Is your question does Mycroft worth your time? If yes then I would say it’s always good to learn new things and setup and using Mycroft will be a great source of new knowledge.
Does Mycroft could replace Alexa and other, I would answer yes (this is my opinion) if you know what you want and if you have some technical skills (which seems to be your case).




 matts:

replacing the eco dots with a different device


it’s def worth your time 
"
8,Running setup.py install for PyAudio ... error,None,"Hi, every one!
One year ago I tied start using mycroft but nothing. Now I have suse 15.2, core i5 and same problem.
Maybe some progress appeared through one year? Can you help me?
Building wheels for collected packages: PyAudio, psutil, pocketsphinx, fann2, gtts-token
Building wheel for PyAudio (setup.py) … error
collect2: error: ld returned 1 exit status
error: command ‘gcc’ failed with exit status 1
ERROR: Failed building wheel for PyAudio
Running setup.py clean for PyAudio
Building wheel for psutil (setup.py) … error
ERROR: Command errored out with exit status 1:
ERROR: Failed building wheel for psutil
Running setup.py clean for psutil
Building wheel for pocketsphinx (setup.py) … error
ERROR: Failed building wheel for pocketsphinx
Running setup.py clean for pocketsphinx
Building wheel for fann2 (setup.py) … error
Running setup.py install for PyAudio … error","Hi @Stslit,
Sorry to hear that.
You are not suppose to run the  setup.py   script, a lot of dependencies are required before doing this, e.g:
   $ sudo zypper install -y git python3 python3-devel libtool libffi-devel libopenssl-devel autoconf automake bison swig portaudio-devel mpg123 flac curl libicu-devel pkg-config libjpeg-devel libfann-devel python3-curses pulseaudio
   $ sudo zypper install -y -t pattern devel_C_C++


How did you run the installation?
Which procedure did you use?

Try to follow this procedure: https://mycroft-ai.gitbook.io/docs/using-mycroft-ai/get-mycroft/linux#installing-via-git-clone

For pyaudio specifically, it’s usually available as an OS package.

Both set command:

The last version is already installed.
Nothing to  do

and I used your link https://mycroft-ai.gitbook.io/docs/using-mycroft-ai/get-mycroft/linux

So you did run  dev_run.sh ?

Do you mean dev_setup.sh?
Yes, but same result. “Warning: Failed to install required dependencies. Continue? y/N”

Yes, sorry about the typo.
Have you been able to install these packages in two steps?
sudo zypper install -y git python3 python3-devel libtool libffi-devel libopenssl-devel autoconf automake bison swig portaudio-devel mpg123 flac curl libicu-devel pkg-config libjpeg-devel libfann-devel python3-curses pulseaudio
sudo zypper install -y -t pattern devel_C_C++

So, I just deploy a fresh OpenSuse 15.2 Leap, mode server install and I had no issue with the Mycroft setup.
goldyfruit@localhost:~/mycroft-core> cat /etc/os-release 
NAME=""openSUSE Leap""
VERSION=""15.2""
ID=""opensuse-leap""
ID_LIKE=""suse opensuse""
VERSION_ID=""15.2""
PRETTY_NAME=""openSUSE Leap 15.2""
ANSI_COLOR=""0;32""
CPE_NAME=""cpe:/o:opensuse:leap:15.2""
BUG_REPORT_URL=""https://bugs.opensuse.org""
HOME_URL=""https://www.opensuse.org/""

Services are all started.
goldyfruit@localhost:~> mycroft-start all
Starting all mycroft-core services
Initializing...
Starting background service bus
CAUTION: The Mycroft bus is an open websocket with no built-in security
         measures.  You are responsible for protecting the local port
         8181 with a firewall as appropriate.
Starting background service skills
Starting background service audio
Starting background service voice
Starting background service enclosure

Status from the logs, no errors, all the services are connected.
goldyfruit@localhost:/var/log/mycroft> grep -ri connected 
enclosure.log:2020-12-20 19:27:10.581 | INFO     | 15701 | mycroft.messagebus.client.client:on_open:114 | Connected
enclosure.log:2020-12-20 19:27:20.839 | INFO     | 15701 | mycroft.messagebus.client.client:on_open:114 | Connected
skills.log:2020-12-20 19:27:15.589 | INFO     | 15692 | mycroft.messagebus.client.client:on_open:114 | Connected
skills.log:2020-12-20 19:27:15.594 | INFO     | 15692 | __main__:_start_message_bus_client:231 | Connected to messagebus
voice.log:2020-12-20 19:27:20.780 | INFO     | 15698 | mycroft.messagebus.client.client:on_open:114 | Connected
audio.log:2020-12-20 19:27:21.381 | INFO     | 15695 | mycroft.messagebus.client.client:on_open:114 | Connected
audio.log:2020-12-20 19:27:37.361 | INFO     | 15695 | mycroft.audio.speech:mute_and_speak:127 | Speak: I'm connected to the internet and need to be activated.

Thank you, Captain Obvious!
Mycroft is working thing (on fresh system)!
But some Linux users have old distros and some of them survived after several dub.
For example, my way from 15.0 to 15.1 and 15.2.
If you can help my, please do it.


Thank you, Captain Obvious!

You are welcome. 

For example, my way from 15.0 to 15.1 and 15.2.

How are we suppose to know if it’s not part of your initial message?

If you can help my, please do it.

I’ll have to pass and let someone less obvious and smarter to take the next part.




 goldyfruit:

I’ll have to pass and let someone less obvious and smarter to take the next part.


Sorry goldyfruit didn’t mean to offend you. Thank you for support.
I thought in start post any one can seen one year link old. Next year I trying start one more post. 




 Stslit:

Sorry goldyfruit didn’t mean to offend you. Thank you for support.


All good 



 Stslit:

I thought in start post any one can seen one year link old. Next year I trying start one more post. 


Yeah but in one year many things could happened but now we have more context.
Try this (within the Mycroft  virtualenv ) and paste us the output please (we are going with baby steps):
``$ pip install --force-reinstall --no-cache-dir PyAudio==0.2.11"
9,Raspberry Pi 4B 8GB Docker version,Mycroft Project,"
I want to use many servers on my RPI and store them on different docker containers. Is there any docker container version of Picroft? I saw mycroft one but I don’t know if this will be stable enough for Pi and includes autoupdate.
","Hi @t0ssox
Picroft is more a Linux distribution with Mycroft embedded than a Docker image.
If you want to run Docker with Mycroft on your Pi then you only need to use the Mycroft image not the Picroft.
No sure the Docker image provided enables the auto-update but here is the Dockerfile which will allows you to customize the image.
https://hub.docker.com/r/mycroftai/docker-mycroft/dockerfile"
