,Topic Title,Category,Tags,Leading Post,Post Replies,Created_at,Likes,Views,Replies
0,About the Store & Website Management category,Store & Website Management,[],Have questions about Store & Website Management? This is the category to use. Please be sure to select the most appropriate sub-category for your questions.,[],0,0,0,0
1,Securing long term partnerships,Store & Website Management,[],"Hello, I just closed a deal to manage a quite large brand account on Amazon, my main concern now is that this partnership may only last 1-2 years and once the account has grown to higher levels they would just manage it by themselves. What methods, tips and tricks you can suggest to protect this deal and make sure they will stick with my company managing their account for long term? Essentially how can I make them dependent on me so it will be very hard for them to let go our partnership?","['Brand management is going to have partner turnover.  There will always be high expectations and, even if you raise sales 20%, they’ll want a 30% increase the next quarter.  I think one good tip is to set reasonable expectations.  Let them know all the activities you will undertake and don’t over-promise a sales increase.']","Dec 5, 2020 5:49 pm",0,19,1
2,Amazon Free Products,Store & Website Management,[],"Hello,
I need some buyers for my products in exchange of a review. (US Only)
ALL KINDS OF PRODUCTS AVAILABLE
FULL Refund
Paypal Fees Covered
Need Long Term Buyers
KINDLY PM ME",[],0,0,0,0
3,About the Product Sourcing Category,Product Sourcing,[],Have questions about sourcing products? This is the category to use. Please be sure to select the most appropriate sub-category for your questions.,[],0,0,0,0
4,Virtual Assistant sending Emails Hubspot,Product Sourcing,[],"Hello Bright Ideas Tribe,
I would like to give my VA access to sending emails for me but not be able to see my inbox and read and view the replies. I have heard some of you mention having a VA send emails through Hubspot but not being able to view your emails. How would I go about setting this up? Thanks!","['\n\n\nknowledge.hubspot.com 1\n\n\n\nCreate and send marketing emails in the classic email editor 1\nLearn how to use the email tool to create and send marketing emails or save marketing emails for automation.\n\n\n\n\n\nYou can use HubSpot but there are also plenty of other tools you can have your VA set up campaigns in and send emails without having to give them access to your inbox.', 'Hi Mitch, thanks for the information and post. What other tools would you recommend that would allow my VA to set up email campaigns to prospective suppliers and send emails without being able to access my inbox?', '@grant along with Hubspot, I’d recommend:\n\n\nWoodpecker\n\n\nLemlist\n\n\nMailchimp\n\n\nApollo\n\n\nWoodpecker is a pretty good entry level email sending service.  I haven’t used HubSpot’s email marketing tools but they are probably free to you if you are using it for a CRM.  You might want to start with that but there are some good other tools you could use also.', 'Hi @Mitch ,\nThanks for the suggestions and recommendations on the different tools. I think I will probably start with Hubspot as you mentioned. Thanks for all of the intel Mitch!', 'Anytime!']","Nov 18, 2020 9:12 pm",0,81,5
5,China sourcing,Product Sourcing,[],"hi,
Does anyone need a local sourcing/purchasing agent in China?","['Hello Grace,\nI’m interested in sourcing products in China. What region of China are you located? What type of items do you specialize in sourcing?\nThanks!', 'Hi Damon,\nI am in Guangzhou city, Guangdong Pvoince. As I have been working as a sourcing agent for more than 10 years, I have sourced many kinds of items for my clients. Such as women fashion, furnitures, home decos, chemicals, industrial machines, electronic products, promotinal gifts etc. What kind of item are you going to source?', 'Sure, I’m looking for manufacturers  of medical supplies and devices such as Isolation / Surgical Gowns Level 1-4, 3 Ply Face Masks Medical and Surgical Grade, Nitrile Gloves. Do you have sources of this type of product?']","Oct 13, 2020 9:28 am",0,101,3
6,Virtual Assistant Using Email,Product Sourcing,[],"Hi Bright Ideas Tribe,
I have heard many of you describe using a VA for sending emails to prospective suppliers, does your VA use your email, or do they have their own? And for those of you that a VA uses their own email, how have their results been?","['Hi Grant,\nI would recommend having them send from your email but I’m hoping others who have had them send from their own email might chime in here.', 'Hi Mitch,\nThanks for your input and reply. Do your VA’s reply back to emails from prospective brands, or do you just have them send the initial outreach and then handle the replies you receive. I would also be interested to hear what others who have their VA’s send from their own VA email address have to say as well.', 'Grant,\nWe’ve had them do both before.  I haven’t had a lot of success with them handling our replies though.  I’m not sure if a template with responses is too rigid but the replies came out funky.  If you have a VA who speaks solid english, you might have them try with and without response templates.  If they do a good job, it would take a fair amount of work off of your plate.', 'Hi Mitch,\nThanks for all of the intel. It would be great if I could have a VA handle replying to prospective suppliers, as this would really take a lot of work off my plate as you mentioned, but I agree that it seems like replying back to prospective suppliers would be too complicated for a VA to handle unless they have exceptional English skills. I wonder, do any of you others in the Bright Ideas Tribe have experience with this? And how were your results?']","Oct 12, 2020 1:59 am",0,127,4
7,Can I return stock that doesn’t sell?,Product Sourcing,['Purchasing'],"I am new to wholesale (haven’t actually started yet  but am worried about purchasing stock that I wont be able to sell all of.
Has anyone negotiated terms with manufacturers to take back any stock that doesn’t move?
My supplier has a 60 day return policy but I loose 20% as restocking fee. I’d like something a bit less risk 
I suppose I could just stick the products that I know do sell instead of trying to list their whole catalogue?
I used to dropship for the brand I want to start with so I’m used to listing all their products without any risk. It made my catalogue look extensive. But the supplier has hiked up their handling fees so it’s no longer competitive to dropship. So I thought a good opportunity to try wholesale, but my listings will be 1/4 what they were ","['@Malessa I’ve talked to a few brands that will take back stock that doesn’t move but they are few and far between.  Certainly stick to their top sellers to start and branch out as you build capital.  We generally don’t recommend buying product with less than 30 sales/month and that isn’t worth at least $100/month in estimated gross profit.', 'Hi Malesa,\nI agree with Mitch, it is very rare that suppliers take back slow-moving stock, and if they do, from what I have seen, there is always a restocking fee of about 20% as you mentioned. I would be interested to hear, do you dropship on an eCommerce site or on marketplaces such as Amazon and eBay?', 'Hi Grant - I dropship that brand via my ecommerce site and with a selection of best sellers on ebay. About 2/3 sales are via my website.']","Oct 12, 2020 8:34 am",1,61,3
8,How to get a Reseller Permit in USA as a Canadian?,Product Sourcing,[],"Hi,
I am a Canadian Citizen and planning to start wholesales fba business on Amazon.com.
When I try to contact a brand or their wholesaler to buy product from them they ask for a reseller permit (to avoid paying sales tax). I am quite confused that as a Canadian I can get a GST number here for tax purposes but how would I get a reseller permit in the USA?
Thanks","['@WawaJi A lot of brands will accept a GST.  They just want proof they are dealing with a reseller and not an end buyer.\nGetting a US Reseller Permit as a Canadian company doesn’t sound all that easy but I’ve never done it.  I would recommend getting in touch with a lawyer or the US Department of Commerce to get legal instruction on how to do this.', 'Hi Mitch,\nThank you so much for your reply to my query.\nI think if Canadian resellers are already doing wholesale fba in the USA, using GST/HST number as a resellers certificate then I would go through this route.\nThank you', 'Sounds good @WawaJi.  Best of luck and let us know how it goes!']","Aug 26, 2020 12:03 am",0,190,3
9,Video in your Email,Product Sourcing,[],"All,
Has anyone experimented with placing a link to a video in the initial outreach email or follow up emails?
A video that explains what you do and how you do it rather than a lengthy email.
Would love some feedback.  Thanks","['We have, but we found that most potential suppliers will not click a link in an email from someone they have yet to communicate with.', 'Great point Thank you Mitch', '@Ben There are some delivery tools that will allow you to put a .gif directly in your email if you want to try that though.  Then there is no clicking required.', '@Ben take a look at Bonjoro. It’s probably more for the follow up email once someone has reached out with interest. It actually puts the video right into the email.']","Aug 6, 2019 8:34 pm",0,297,4
